origin,year,month,day,hour,temp,dewp,humid,wind_speed,time_hour
EWR,2013,9,1,0,80.06,71.06,74.07,5.7539,01/09/2013
EWR,2013,9,1,1,78.08,69.98,76.19,10.35702,01/09/2013 01:00
EWR,2013,9,1,2,75.92,71.06,84.92,9.20624,01/09/2013 02:00
EWR,2013,9,1,3,75.92,71.06,84.92,6.90468,01/09/2013 03:00
EWR,2013,9,1,4,75.2,71.96,93.54,11.5078,01/09/2013 04:00
EWR,2013,9,1,5,73.94,71.6,94.1,9.20624,01/09/2013 05:00
EWR,2013,9,1,6,73.94,71.06,90.73,3.45234,01/09/2013 06:00
EWR,2013,9,1,7,75.02,71.96,90.22,5.7539,01/09/2013 07:00
EWR,2013,9,1,8,77,71.96,84.46,5.7539,01/09/2013 08:00
EWR,2013,9,1,9,77,71.96,84.46,8.05546,01/09/2013 09:00
EWR,2013,9,1,10,78.8,73.4,88.67,6.90468,01/09/2013 10:00
EWR,2013,9,1,11,80.96,71.96,78.62,4.60312,01/09/2013 11:00
EWR,2013,9,1,12,82.04,73.04,74.25,9.20624,01/09/2013 12:00
EWR,2013,9,1,13,82.94,71.96,69.53,5.7539,01/09/2013 13:00
EWR,2013,9,1,14,84.02,73.4,74.28,5.7539,01/09/2013 14:00
EWR,2013,9,1,15,82.94,71.96,69.53,9.20624,01/09/2013 15:00
EWR,2013,9,1,16,82.04,71.96,71.59,9.20624,01/09/2013 16:00
EWR,2013,9,1,17,80.96,71.96,74.15,9.20624,01/09/2013 17:00
EWR,2013,9,1,18,80.06,71.06,74.07,8.05546,01/09/2013 18:00
EWR,2013,9,1,19,78.98,69.08,71.72,4.60312,01/09/2013 19:00
EWR,2013,9,1,20,77,68,73.78,4.60312,01/09/2013 20:00
EWR,2013,9,1,21,78.08,68,71.19,3.45234,01/09/2013 21:00
EWR,2013,9,1,22,77,71.06,81.92,3.45234,01/09/2013 22:00
EWR,2013,9,1,23,75.92,71.96,87.55,4.60312,01/09/2013 23:00
EWR,2013,9,2,0,75.92,71.96,88.59,0,02/09/2013
EWR,2013,9,2,1,75.92,73.4,94.14,3.45234,02/09/2013 01:00
EWR,2013,9,2,2,75.92,73.4,94.14,4.60312,02/09/2013 02:00
EWR,2013,9,2,3,75.92,73.94,93.59,0,02/09/2013 03:00
EWR,2013,9,2,4,75.92,73.04,90.8,3.45234,02/09/2013 04:00
EWR,2013,9,2,5,75.92,73.04,90.8,0,02/09/2013 05:00
EWR,2013,9,2,6,75.92,73.04,90.8,0,02/09/2013 06:00
EWR,2013,9,2,7,77,73.94,90.29,0,02/09/2013 07:00
EWR,2013,9,2,8,77,73.94,90.29,0,02/09/2013 08:00
EWR,2013,9,2,9,78.8,73.94,87.12,4.60312,02/09/2013 09:00
EWR,2013,9,2,10,80.6,73.4,83.55,3.45234,02/09/2013 10:00
EWR,2013,9,2,11,82.4,73.4,74.28,0,02/09/2013 11:00
EWR,2013,9,2,12,82.4,73.4,76.9,6.90468,02/09/2013 12:00
EWR,2013,9,2,13,80.06,71.06,74.07,9.20624,02/09/2013 13:00
EWR,2013,9,2,14,75.92,71.96,88.59,8.05546,02/09/2013 14:00
EWR,2013,9,2,15,78.08,73.94,88.59,9.20624,02/09/2013 15:00
EWR,2013,9,2,17,80.96,73.4,78.76,3.45234,02/09/2013 17:00
EWR,2013,9,2,18,78.98,71.96,79.12,3.45234,02/09/2013 18:00
EWR,2013,9,2,19,78.08,71.96,81.5,4.60312,02/09/2013 19:00
EWR,2013,9,2,20,75.02,69.98,84.34,5.7539,02/09/2013 20:00
EWR,2013,9,2,21,75.92,71.06,84.92,4.60312,02/09/2013 21:00
EWR,2013,9,2,22,75.02,71.96,90.22,5.7539,02/09/2013 22:00
EWR,2013,9,2,23,75.02,71.96,90.22,3.45234,02/09/2013 23:00
EWR,2013,9,3,0,73.94,71.96,93.54,0,03/09/2013
EWR,2013,9,3,1,73.94,71.96,94.1,5.7539,03/09/2013 01:00
EWR,2013,9,3,2,73.4,71.6,94.1,6.90468,03/09/2013 02:00
EWR,2013,9,3,3,73.94,71.06,90.73,0,03/09/2013 03:00
EWR,2013,9,3,4,73.4,71.6,94.1,0,03/09/2013 04:00
EWR,2013,9,3,5,73.4,71.06,93.52,0,03/09/2013 05:00
EWR,2013,9,3,6,73.04,69.98,90.14,6.90468,03/09/2013 06:00
EWR,2013,9,3,7,73.94,71.06,90.73,0,03/09/2013 07:00
EWR,2013,9,3,8,75.02,71.6,94.1,6.90468,03/09/2013 08:00
EWR,2013,9,3,9,75.2,69.8,83.32,11.5078,03/09/2013 09:00
EWR,2013,9,3,10,75.92,68,78.34,12.65858,03/09/2013 10:00
EWR,2013,9,3,11,78.8,62.96,59.74,10.35702,03/09/2013 11:00
EWR,2013,9,3,12,78.98,60.08,52.37,11.5078,03/09/2013 12:00
EWR,2013,9,3,13,80.96,60.08,49.09,6.90468,03/09/2013 13:00
EWR,2013,9,3,14,82.04,60.98,48.93,9.20624,03/09/2013 14:00
EWR,2013,9,3,15,82.04,59,45.6,14.96014,03/09/2013 15:00
EWR,2013,9,3,16,82.94,57.02,41.25,11.5078,03/09/2013 16:00
EWR,2013,9,3,17,82.04,55.04,39.53,13.80936,03/09/2013 17:00
EWR,2013,9,3,18,78.98,55.04,43.68,11.5078,03/09/2013 18:00
EWR,2013,9,3,19,78.08,53.96,43.26,12.65858,03/09/2013 19:00
EWR,2013,9,3,20,75.02,53.96,47.89,11.5078,03/09/2013 20:00
EWR,2013,9,3,21,73.04,55.04,53.24,9.20624,03/09/2013 21:00
EWR,2013,9,3,22,71.96,55.94,57.05,10.35702,03/09/2013 22:00
EWR,2013,9,3,23,69.98,57.02,63.45,6.90468,03/09/2013 23:00
EWR,2013,9,4,0,69.08,57.02,65.44,6.90468,04/09/2013
EWR,2013,9,4,1,66.92,57.92,72.81,3.45234,04/09/2013 01:00
EWR,2013,9,4,2,66.92,57.92,72.81,4.60312,04/09/2013 02:00
EWR,2013,9,4,3,64.94,57.92,77.99,5.7539,04/09/2013 03:00
EWR,2013,9,4,4,64.94,57.92,77.99,6.90468,04/09/2013 04:00
EWR,2013,9,4,5,64.94,57.02,75.51,9.20624,04/09/2013 05:00
EWR,2013,9,4,6,64.94,57.02,75.51,10.35702,04/09/2013 06:00
EWR,2013,9,4,7,66.92,57.02,70.49,12.65858,04/09/2013 07:00
EWR,2013,9,4,8,69.08,57.02,65.44,8.05546,04/09/2013 08:00
EWR,2013,9,4,9,71.96,55.04,55.22,10.35702,04/09/2013 09:00
EWR,2013,9,4,10,73.94,53.06,48.04,6.90468,04/09/2013 10:00
EWR,2013,9,4,11,77,51.08,40.33,13.80936,04/09/2013 11:00
EWR,2013,9,4,12,78.98,53.06,40.64,10.35702,04/09/2013 12:00
EWR,2013,9,4,13,80.06,55.04,42.16,3.45234,04/09/2013 13:00
EWR,2013,9,4,14,82.04,55.94,40.84,12.65858,04/09/2013 14:00
EWR,2013,9,4,15,80.06,57.02,45.3,12.65858,04/09/2013 15:00
EWR,2013,9,4,16,80.96,57.02,43.99,16.11092,04/09/2013 16:00
EWR,2013,9,4,17,80.06,55.94,43.56,13.80936,04/09/2013 17:00
EWR,2013,9,4,18,78.98,55.94,45.14,11.5078,04/09/2013 18:00
EWR,2013,9,4,19,77,57.02,50.11,11.5078,04/09/2013 19:00
EWR,2013,9,4,20,75.02,57.92,55.28,11.5078,04/09/2013 20:00
EWR,2013,9,4,21,73.94,57.92,57.32,10.35702,04/09/2013 21:00
EWR,2013,9,4,22,73.04,57.92,59.08,10.35702,04/09/2013 22:00
EWR,2013,9,4,23,71.96,57.92,61.28,10.35702,04/09/2013 23:00
EWR,2013,9,5,0,71.06,57.02,61.16,9.20624,05/09/2013
EWR,2013,9,5,1,68,57.92,70.15,9.20624,05/09/2013 01:00
EWR,2013,9,5,2,66.92,57.92,72.81,9.20624,05/09/2013 02:00
EWR,2013,9,5,3,66.02,57.92,75.12,5.7539,05/09/2013 03:00
EWR,2013,9,5,4,62.96,57.92,83.6,6.90468,05/09/2013 04:00
EWR,2013,9,5,5,64.04,57.92,80.49,8.05546,05/09/2013 05:00
EWR,2013,9,5,6,62.96,57.92,83.6,5.7539,05/09/2013 06:00
EWR,2013,9,5,7,68,57.92,70.15,9.20624,05/09/2013 07:00
EWR,2013,9,5,8,69.98,57.92,65.54,10.35702,05/09/2013 08:00
EWR,2013,9,5,9,73.94,59,59.58,8.05546,05/09/2013 09:00
EWR,2013,9,5,10,73.94,59,59.58,11.5078,05/09/2013 10:00
EWR,2013,9,5,11,73.94,59,59.58,12.65858,05/09/2013 11:00
EWR,2013,9,5,12,78.08,53.06,41.86,14.96014,05/09/2013 12:00
EWR,2013,9,5,13,78.98,44.96,30.02,14.96014,05/09/2013 13:00
EWR,2013,9,5,14,78.08,46.94,33.34,12.65858,05/09/2013 14:00
EWR,2013,9,5,15,78.08,48.02,34.72,10.35702,05/09/2013 15:00
EWR,2013,9,5,16,77,44.96,32.05,11.5078,05/09/2013 16:00
EWR,2013,9,5,17,75.02,39.02,27.23,19.56326,05/09/2013 17:00
EWR,2013,9,5,18,73.04,41,31.43,16.11092,05/09/2013 18:00
EWR,2013,9,5,19,71.06,41,33.61,11.5078,05/09/2013 19:00
EWR,2013,9,5,20,69.08,42.08,37.49,10.35702,05/09/2013 20:00
EWR,2013,9,5,21,64.94,44.06,46.67,8.05546,05/09/2013 21:00
EWR,2013,9,5,22,64.04,44.06,48.17,8.05546,05/09/2013 22:00
EWR,2013,9,5,23,62.96,44.06,50.03,8.05546,05/09/2013 23:00
EWR,2013,9,6,0,62.96,44.96,51.77,8.05546,06/09/2013
EWR,2013,9,6,1,60.98,42.08,49.73,11.5078,06/09/2013 01:00
EWR,2013,9,6,2,60.08,42.08,51.34,11.5078,06/09/2013 02:00
EWR,2013,9,6,3,57.02,42.08,57.29,8.05546,06/09/2013 03:00
EWR,2013,9,6,4,55.94,42.08,59.58,8.05546,06/09/2013 04:00
EWR,2013,9,6,5,55.94,42.08,59.58,10.35702,06/09/2013 05:00
EWR,2013,9,6,6,55.04,42.98,63.72,12.65858,06/09/2013 06:00
EWR,2013,9,6,7,57.02,42.98,59.31,11.5078,06/09/2013 07:00
EWR,2013,9,6,8,60.08,42.98,53.15,11.5078,06/09/2013 08:00
EWR,2013,9,6,9,64.04,44.06,48.17,12.65858,06/09/2013 09:00
EWR,2013,9,6,10,66.02,41,39.96,11.5078,06/09/2013 10:00
EWR,2013,9,6,11,66.02,39.92,38.32,6.90468,06/09/2013 11:00
EWR,2013,9,6,12,68,39.92,35.79,4.60312,06/09/2013 12:00
EWR,2013,9,6,13,69.08,39.92,34.48,8.05546,06/09/2013 13:00
EWR,2013,9,6,14,69.98,39.02,32.29,3.45234,06/09/2013 14:00
EWR,2013,9,6,15,71.06,37.94,29.83,0,06/09/2013 15:00
EWR,2013,9,6,16,71.06,39.02,31.12,0,06/09/2013 16:00
EWR,2013,9,6,17,71.06,37.94,29.83,3.45234,06/09/2013 17:00
EWR,2013,9,6,18,69.08,39.92,34.48,5.7539,06/09/2013 18:00
EWR,2013,9,6,19,66.92,44.06,43.57,0,06/09/2013 19:00
EWR,2013,9,6,20,66.02,42.08,41.67,5.7539,06/09/2013 20:00
EWR,2013,9,6,21,64.94,48.02,54.22,3.45234,06/09/2013 21:00
EWR,2013,9,6,22,60.98,46.04,57.84,5.7539,06/09/2013 22:00
EWR,2013,9,6,23,60.98,46.04,57.84,6.90468,06/09/2013 23:00
EWR,2013,9,7,0,60.08,46.04,59.72,9.20624,07/09/2013
EWR,2013,9,7,1,57.92,46.04,64.52,5.7539,07/09/2013 01:00
EWR,2013,9,7,2,57.92,46.94,66.75,5.7539,07/09/2013 02:00
EWR,2013,9,7,3,55.94,46.94,71.7,3.45234,07/09/2013 03:00
EWR,2013,9,7,4,53.06,46.94,79.64,4.60312,07/09/2013 04:00
EWR,2013,9,7,5,53.96,48.02,80.25,3.45234,07/09/2013 05:00
EWR,2013,9,7,6,53.96,48.92,83,4.60312,07/09/2013 06:00
EWR,2013,9,7,7,59,51.08,74.96,4.60312,07/09/2013 07:00
